78,Lethal Weapon,03/06/1987,109,R,Two newly paired cops who are complete opposites must put aside their differences in order to catch a gang of drug smugglers.,Standard
79,Lethal Weapon 2,07/07/1989,114,R,Riggs and Murtaugh are on the trail of South African diplomats who are using their immunity to engage in criminal activities.,Standard
80,Lethal Weapon 3,05/15/1992,118,R,Martin Riggs and Roger Murtaugh pursue a former LAPD officer who uses his knowledge of police procedure and policies to steal and sell confiscated guns and ammunition to local street gangs.,Standard
81,Sling Blade,03/14/1997,135,R,"Karl Childers, a simple man hospitalized since his childhood murder of his mother and her lover, is released to start a new life in a small town.",Standard
82,Zoolander,09/28/2001,90,PG-13,"At the end of his career, a clueless fashion model is brainwashed to kill the Prime Minister of Malaysia.",Standard
83,Stand By Me,08/22/1986,89,R,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.",Standard
84,When Harry Met Sally…,07/21/1989,95,R,"Harry and Sally have known each other for years, and are very good friends, but they fear sex would ruin the friendship.",Standard
85,Wild Hogs,03/02/2007,100,PG-13,"A group of suburban biker wannabes looking for adventure hit the open road, but get more than they bargained for when they encounter a New Mexico gang called the Del Fuegos.",Standard
86,Goodfellas,09/21/1990,146,R,"The story of Henry Hill and his life in the mob, covering his relationship with his wife Karen Hill and his mob partners Jimmy Conway and Tommy DeVito in the Italian-American crime syndicate.",Standard
87,The Departed,10/06/2006,151,R,An undercover cop and a mole in the police attempt to identify each other while infiltrating an Irish gang in South Boston.,Standard
88,Cheaper by the Dozen,12/25/2003,98,PG,"With his wife doing a book tour, a father of twelve must handle a new job and his unstable brood.",Standard
89,A Bug’s Life,11/25/1998,95,G,"A misfit ant, looking for ""warriors"" to save his colony from greedy grasshoppers, recruits a group of bugs that turn out to be an inept circus troupe.",Standard
90,Captain Phillips,10/11/2013,134,PG-13,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the U.S.-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",Standard
91,Fast Times at Ridgemont High,08/13/1982,90,R,"A group of Southern California high school students are enjoying their most important subjects: sex, drugs, and rock n' roll.",Standard
92,Groundhog Day,02/12/1993,101,PG,A weatherman finds himself inexplicably living the same day over and over again.,Standard
93,How to Train Your Dragon,03/26/2010,98,PG,"A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.",Standard
94,Dances with Wolves,11/21/1990,181,PG-13,"Lieutenant John Dunbar, assigned to a remote western Civil War outpost, befriends wolves and Indians, making him an intolerable aberration in the military.",Standard
95,Michael Clayton,10/12/2007,119,R,"A law firm brings in its ""fixer"" to remedy the situation after a lawyer has a breakdown while representing a chemical company that he knows is guilty in a multibillion-dollar class action suit.",Standard
96,Rocky,12/03/1976,120,PG,A small-time boxer gets a supremely rare chance to fight a heavyweight champion in a bout in which he strives to go the distance for his self-respect.,Standard
97,Rocky II,06/15/1979,119,PG,"Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch.",Standard
98,Vacation,07/29/2015,99,R,"Rusty Griswold takes his own family on a road trip to ""Walley World"" in order to spice things up with his wife and reconnect with his sons.",Standard
99,21 Jump Street,03/16/2012,109,R,A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.,Standard
100,22 Jump Street,06/13/2014,112,R,"After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",Standard
101,Bushwhacked,08/04/1995,90,PG,"On the run from authorities, a sleazy courier poses as a Scout leader on a camping trip. But he has no idea what he's in for when he must actually take charge of a group of kids.",Standard
102,Big Momma’s House,06/02/2000,99,PG-13,"In order to protect a beautiful woman and her son from a robber, a male FBI agent disguises himself as a large grandmother.",Standard
103,Fletch,05/31/1985,98,PG,"Irwin M. ""Fletch"" Fletcher is a newspaper reporter being offered a large sum to off a cancerous millionaire, but is on the run, risking his job and finding clues when it's clear the man is healthy.",Standard
104,Jackass Number Two,09/22/2006,92,R,"Chris Pontius, Johnny Knoxville, Steve-O, Bam Margera, and the whole crew return to the screen to raise the stakes higher than ever before.",Standard
105,Bad Grandpa,10/25/2013,92,R,"86-year-old Irving Zisman takes a trip from Nebraska to North Carolina to take his 8 year-old grandson, Billy, back to his real father.",Standard
106,Halloween,10/27/1978,91,R,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.",Standard
107,Halloween II,10/30/1981,92,R,"While Sheriff Brackett and Dr. Loomis hunt for Michael Myers, a traumatized Laurie is rushed to hospital, and the serial killer is not far behind her.",Standard
108,Inception,07/16/2010,148,PG-13,A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O.,Standard
109,Mr. Woodcock,09/14/2007,87,PG-13,"Taken aback by his mother's wedding announcement, a young man returns home in an effort to stop her from marrying his old high school gym teacher, a man who made middle school hell for generations of students.",Standard
110,Paul Blart: Mall Cop,01/16/2009,91,PG,"When a shopping mall is taken over by a gang of organized crooks, it's up to a mild-mannered security guard to save the day.",Standard
111,Major League,04/07/1989,107,R,"The new owner of the Cleveland Indians puts together a purposely horrible team so they'll lose and she can move the team. But when the plot is uncovered, they start winning just to spite her.",Standard
112,Days of Thunder,06/27/1990,107,PG-13,A young hot-shot stock car driver gets his chance to compete at the top level.,Standard
113,Cop Out,02/26/2010,107,R,"Jimmy's rare baseball card is robbed. Since it's his only hope to pay for his daughter's upcoming wedding, he recruits his cop partner Paul to track down the robber, a memorabilia-obsessed gangster.",Standard
114,The Blind Side,11/20/2009,129,PG-13,"The story of Michael Oher, a homeless and traumatized boy who became an All-American football player and first-round NFL draft pick with the help of a caring woman and her family.",Standard
115,Little Giants,10/14/1994,107,PG,"Misfits form their own opposing team to an elite peewee football team, coached by the elite team coach's brother.",Standard
116,The Perks of Being a Wallflower,10/12/2012,103,PG-13,An introvert freshman is taken under the wings of two seniors who welcome him to the real world.,Standard
117,Meet the Parents,10/06/2000,108,PG-13,"Male nurse Greg Focker meets his girlfriend's parents before proposing, but her suspicious father is every date's worst nightmare.",Standard
118,Meet the Fockers,12/22/2004,115,PG-13,All hell breaks loose when the Byrnes family meets the Focker family for the first time.,Standard
119,The Watch,07/27/2012,102,R,Four men who form a neighborhood watch group as a way to get out of their day-to-day family routines find themselves defending the Earth from an alien invasion.,Standard
120,Couples Retreat,10/09/2009,113,PG-13,"A comedy centered around four couples who settle into a tropical-island resort for a vacation. While one of the couples is there to work on the marriage, the others fail to realize that participation in the resort's therapy sessions is not optional.",Standard
121,National Security,01/17/2003,88,PG-13,Two mismatched security guards are thrown together to bust a smuggling operation.,Standard
122,Secondhand Lions,09/19/2003,109,PG,"A coming-of-age story about a shy, young boy sent by his irresponsible mother to spend the summer with his wealthy, eccentric uncles in Texas.",Standard
123,Revenge of the Nerds,08/10/1984,90,R,"At Adams College, a group of bullied outcasts and misfits resolve to fight back for their peace and self-respect.",Standard
124,Moneyball,09/23/2011,133,PG-13,Oakland A's general manager Billy Beane's successful attempt to assemble a baseball team on a lean budget by employing computer-generated analysis to acquire new players.,Standard
125,Night at the Museum: Battle of the Smithsonian,05/22/2009,105,PG,"Security guard Larry Daley infiltrates the Smithsonian Institution in order to rescue Jedediah and Octavius, who have been shipped to the museum by mistake.",Standard
126,Night at the Museum: Secret of the Tomb,12/19/2014,98,PG,"Larry spans the globe, uniting favorite and new characters while embarking on an epic quest to save the magic before it is gone forever.",Standard
127,Shallow Hal,11/09/2001,114,PG-13,A shallow man falls in love with a 300-pound woman because of her inner beauty.,Standard
128,Spider-Man,05/03/2002,121,PG-13,"When bitten by a genetically modified spider, a nerdy, shy, and awkward high school student gains spider-like abilities that he eventually must use to fight evil as a superhero after tragedy befalls his family.",Standard
129,Spider-Man 2,06/30/2004,127,PG-13,Peter Parker is beset with troubles in his failing personal life as he battles a brilliant scientist named Doctor Otto Octavius.,Standard
130,Spider-Man 3,05/04/2007,139,PG-13,"A strange black entity from another world bonds with Peter Parker and causes inner turmoil as he contends with new villains, temptations, and revenge.",Standard
131,Die Hard,07/20/1988,132,R,An NYPD officer tries to save his wife and several others taken hostage by German terrorists during a Christmas party at the Nakatomi Plaza in Los Angeles.,Standard
132,Die Hard 2,07/03/1990,124,R,"John McClane attempts to avert disaster as rogue military operatives seize control of Dulles International Airport in Washington, D.C.",Standard
133,Die Hard with a Vengeance,05/19/1995,128,R,"John McClane and a Harlem store owner are targeted by German terrorist Simon in New York City, where he plans to rob the Federal Reserve Building.",Standard
134,Live Free or Die Hard,06/27/2007,128,PG-13,John McClane and a young hacker join forces to take down master cyber-terrorist Thomas Gabriel in Washington D.C.,Standard
135,Are We There Yet?,01/21/2005,95,PG,"To impress a foxy divorcee, ladies' man Nick offers to take her kids on an extended road trip, unaware of the torture he's in for.",Standard
136,Gravity,10/04/2013,91,PG-13,Two astronauts work together to survive after an accident leaves them stranded in space.,Standard
137,National Treasure: Book of Secrets,12/21/2007,124,PG,Benjamin Gates must follow a clue left in John Wilkes Booth's diary to prove his ancestor's innocence in the assassination of Abraham Lincoln.,Standard
138,Porky’s,03/19/1982,94,R,"In 1954, a group of Florida high-school guys try to help their buddy lose his virginity, which leads them to seek revenge on a sleazy nightclub owner and his redneck sheriff brother for harassing them.",Standard
139,Semi-Pro,02/29/2008,91,R,"Jackie Moon, the owner-coach-player of the American Basketball Association's Flint Michigan Tropics, rallies his teammates to make their NBA dreams come true.",Standard
140,Stranger Than Fiction,11/10/2006,113,PG-13,"I.R.S. auditor Harold Crick suddenly finds himself the subject of narration only he can hear: narration that begins to affect his entire life, from his work, to his love-interest, to his death.",Standard
141,The Goonies,06/07/1985,114,PG,A group of young misfits called The Goonies discover an ancient map and set out on an adventure to find a legendary pirate's long-lost treasure.,Standard
142,A Fistful of Dollars,09/12/1964,99,R,"A wandering gunfighter plays two rival families against each other in a town torn apart by greed, pride, and revenge.",Standard
143,For a Few Dollars More,12/30/1965,132,R,Two bounty hunters with the same intentions team up to track down a Western outlaw.,Standard
144,"The Good, the Bad, and the Ugly",12/23/1966,178,R,A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,Standard
145,Hang ‘Em High,07/31/1968,114,PG-13,"When an innocent man barely survives a lynching, he returns as a lawman determined to bring the vigilantes to justice.",Standard
146,Watchmen,03/06/2009,162,R,"In 1985 where former superheroes exist, the murder of a colleague sends active vigilante Rorschach into his own sprawling investigation, uncovering something that could completely change the course of history as we know it.",Standard
147,The Ringer,12/23/2005,94,PG-13,A young guy's only option to erase a really bad debt is to rig the Special Olympics by posing as a contestant.,Standard
148,Silver Linings Playbook,12/25/2012,122,R,"After a stint in a mental institution, former teacher Pat Solitano moves back in with his parents and tries to reconcile with his ex-wife. Things get more challenging when Pat meets Tiffany, a mysterious girl with problems of her own.",Standard
149,Alien,06/22/1979,117,R,"After a space merchant vessel receives an unknown transmission as a distress call, one of the crew is attacked by a mysterious life form and they soon realize that its life cycle has merely begun.",Standard
150,Aliens,07/18/1986,137,R,"Fifty-seven years after surviving an apocalyptic attack aboard her space vessel by merciless space creatures, Officer Ripley awakens from hyper-sleep and tries to warn anyone who will listen about the predators.",Standard
151,Batman,06/23/1989,126,PG-13,"The Dark Knight of Gotham City begins his war on crime with his first major enemy being Jack Napier, a criminal who becomes the clownishly homicidal Joker.",Standard
152,Coach Carter,01/14/2005,136,PG-13,Controversy surrounds high school basketball coach Ken Carter after he benches his entire team for breaking their academic contract with him.,Standard
153,Gremlins,06/08/1984,106,PG,A young man inadvertently breaks three important rules concerning his new pet and unleashes a horde of malevolently mischievous monsters on a small town.,Standard
154,V for Vendetta,03/17/2006,132,R,"In a future British tyranny, a shadowy freedom fighter, known only by the alias of ""V"", plots to overthrow it with the help of a young woman.",Standard
155,The Happening,06/13/2008,91,R,"A science teacher, his wife, and a young girl struggle to survive a plague that causes those infected to commit suicide.",Standard
156,The Gambler,12/25/2014,111,R,"Literature professor and gambler Jim Bennett's debt causes him to borrow money from his mother and a loan shark. Further complicating his situation, is his relationship with one of his students. Will Bennett risk his life for a second chance?",Standard
157,Training Day,10/05/2001,122,R,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,Standard
158,The Sandlot,04/07/1993,101,PG,"In the summer of 1962, a new kid in town is taken under the wing of a young baseball prodigy and his rowdy team, resulting in many adventures.",Standard
159,American Psycho,04/14/2000,101,R,"A wealthy New York City investment banking executive, Patrick Bateman, hides his alternate psychopathic ego from his co-workers and friends as he delves deeper into his violent, hedonistic fantasies.",Standard
160,Bachelor Party,06/29/1984,105,R,A soon-to-be-married man's friends throw him the ultimate bachelor party.,Standard
161,The Rocker,08/20/2008,102,PG-13,"In the 1980s, a drummer is abandoned by his band just before they become rock superstars. Twenty years later, the drummer sees his second chance at stardom arise when he is asked to perform with his teenage nephew's high school rock band.",Standard
162,The Great Outdoors,06/17/1988,91,PG,A Chicago man and his family go camping with his obnoxious brother-in-law.,Standard
163,Charlie and the Chocolate Factory,07/15/2005,115,PG,"A young boy wins a tour through the most magnificent chocolate factory in the world, led by the world's most unusual candy maker.",Standard
164,Deuce Bigalow: Male Gigolo,12/10/1999,88,R,"An average aquarium cleaner house-sits for a gigolo, only to be forced to become one himself.",Standard
165,The Animal,06/01/2001,84,PG-13,"After receiving organ transplants from various animal donors, a man finds himself taking on the traits of those animals.",Standard
166,Rush Hour,09/18/1998,98,PG-13,"A loyal and dedicated Hong Kong Inspector teams up with a reckless and loudmouthed L.A.P.D. detective to rescue the Chinese Consul's kidnapped daughter, while trying to arrest a dangerous crime lord along the way.",Standard
167,Rush Hour 2,08/03/2001,90,PG-13,"Carter and Lee head to Hong Kong for a vacation, but become embroiled in a counterfeit money scam.",Standard
168,Stripes,06/26/1981,106,R,Two friends who are dissatisfied with their jobs decide to join the army for a bit of fun.,Standard
169,The Commuter,01/12/2018,104,PG-13,An action-thriller in which an insurance salesman/ex-cop is caught up in a life-threatening conspiracy during his daily commute home.,Standard
170,Smokey and the Bandit,05/27/1977,96,PG,"The Bandit is hired on to run a tractor-trailer full of beer over state lines, in hot pursuit by a pesky sheriff.",Standard
171,The Longest Yard,08/30/1974,121,R,"A sadistic warden asks a former pro quarterback, now serving time in his prison, to put together a team of inmates to take on (and get pummeled by) the guards.",Standard
172,Thunderstruck,08/24/2012,94,PG,"When Brian, a hopelessly uncoordinated young fan magically switches talents with his hero, basketball star Kevin Durant, he becomes the star of his high school team, while Kevin Durant suddenly can't make a shot to save his life.",Standard
173,The Mummy,06/09/2017,110,PG-13,"An ancient Egyptian princess is awakened from her crypt beneath the desert, bringing with her malevolence grown over millennia, and terrors that defy human comprehension.",Standard
